indicator,level,group,group_value,estimate,n_unweighted,survey_id,country_iso3,survey_year
oosr,primary,total,total,0.0742,5662,ZAF_2022_GHS2022,ZAF,2022
oosr,primary,sex,male,0.0705,2681,ZAF_2022_GHS2022,ZAF,2022
oosr,primary,sex,female,0.0776,2981,ZAF_2022_GHS2022,ZAF,2022
oosr,primary,urban,rural,0.113,1860,ZAF_2022_GHS2022,ZAF,2022
oosr,primary,urban,urban,0.0553,3802,ZAF_2022_GHS2022,ZAF,2022
oosr,primary,wealth,q1,0.1584,741,ZAF_2022_GHS2022,ZAF,2022
oosr,primary,wealth,q2,0.1663,927,ZAF_2022_GHS2022,ZAF,2022
oosr,primary,wealth,q3,0.0582,1145,ZAF_2022_GHS2022,ZAF,2022
oosr,primary,wealth,q4,0.0243,1349,ZAF_2022_GHS2022,ZAF,2022
oosr,primary,wealth,q5,0.0337,1500,ZAF_2022_GHS2022,ZAF,2022
oosr,primary,ethnicity,1,0.0747,4609,ZAF_2022_GHS2022,ZAF,2022
oosr,primary,ethnicity,2,0.0797,509,ZAF_2022_GHS2022,ZAF,2022
oosr,primary,ethnicity,3,0.0332,169,ZAF_2022_GHS2022,ZAF,2022
oosr,primary,ethnicity,4,0.0791,375,ZAF_2022_GHS2022,ZAF,2022
oosr,lower_secondary,total,total,0.0803,2866,ZAF_2022_GHS2022,ZAF,2022
oosr,lower_secondary,sex,male,0.0884,1318,ZAF_2022_GHS2022,ZAF,2022
oosr,lower_secondary,sex,female,0.0736,1548,ZAF_2022_GHS2022,ZAF,2022
oosr,lower_secondary,urban,rural,0.1156,976,ZAF_2022_GHS2022,ZAF,2022
oosr,lower_secondary,urban,urban,0.0619,1890,ZAF_2022_GHS2022,ZAF,2022
oosr,lower_secondary,wealth,q1,0.1793,387,ZAF_2022_GHS2022,ZAF,2022
oosr,lower_secondary,wealth,q2,0.1584,465,ZAF_2022_GHS2022,ZAF,2022
oosr,lower_secondary,wealth,q3,0.0838,589,ZAF_2022_GHS2022,ZAF,2022
oosr,lower_secondary,wealth,q4,0.0259,666,ZAF_2022_GHS2022,ZAF,2022
oosr,lower_secondary,wealth,q5,0.022,759,ZAF_2022_GHS2022,ZAF,2022
oosr,lower_secondary,ethnicity,1,0.0844,2327,ZAF_2022_GHS2022,ZAF,2022
oosr,lower_secondary,ethnicity,2,0.0882,249,ZAF_2022_GHS2022,ZAF,2022
oosr,lower_secondary,ethnicity,3,0.0229,98,ZAF_2022_GHS2022,ZAF,2022
oosr,lower_secondary,ethnicity,4,0.0454,192,ZAF_2022_GHS2022,ZAF,2022
oosr,upper_secondary,total,total,0.0779,2916,ZAF_2022_GHS2022,ZAF,2022
oosr,upper_secondary,sex,male,0.0761,1376,ZAF_2022_GHS2022,ZAF,2022
oosr,upper_secondary,sex,female,0.0795,1540,ZAF_2022_GHS2022,ZAF,2022
oosr,upper_secondary,urban,rural,0.1152,938,ZAF_2022_GHS2022,ZAF,2022
oosr,upper_secondary,urban,urban,0.0597,1978,ZAF_2022_GHS2022,ZAF,2022
