PROVINCE,STRATUM,PSU,PERSONWT,Q11YRBRTH,Q12SEX,GEO_TYPE,QUINTILE,RACE,Q41ATNDSCH,Q43GRADE,Q43EDLVL,Q44LITERACY
3,32,2038,327.1,1962,1,2,1,1,2.0,8,3,1.0
7,71,62,133.8,2001,1,1,4,1,2.0,8,3,1.0
8,82,2912,149.6,1959,1,1,3,1,2.0,11,3,1.0
3,31,496,389.8,2015,1,2,2,2,1.0,2,2,
7,73,1440,384.8,2006,2,2,2,1,1.0,10,3,1.0
4,41,598,70.7,1971,1,1,4,1,2.0,7,2,1.0
2,23,1109,375.0,1943,2,2,1,1,2.0,9,3,1.0
6,62,1010,399.1,2017,1,1,2,1,2.0,0,0,
9,93,1248,60.7,2017,1,1,3,1,2.0,0,0,
5,52,1851,195.7,1966,2,1,4,1,2.0,10,3,1.0
4,41,2362,430.3,1949,2,1,5,1,2.0,9,3,1.0
4,41,467,336.9,1958,1,1,5,4,2.0,10,3,1.0
9,92,2273,411.6,1953,2,2,3,1,2.0,10,3,1.0
2,22,669,398.2,2013,1,2,3,2,1.0,5,2,
6,62,2622,270.0,1974,2,1,3,1,2.0,4,2,1.0
4,42,1824,337.2,2019,2,1,4,1,,1,2,
8,81,3203,338.2,2014,1,2,1,1,1.0,2,2,
6,63,692,437.3,1987,1,1,4,1,2.0,5,2,1.0
3,31,1277,271.6,1948,2,1,2,1,2.0,7,2,2.0
3,33,516,426.3,1938,2,1,3,4,2.0,7,2,1.0
1,13,982,477.6,1990,1,2,2,2,2.0,11,3,1.0
2,22,342,174.2,1940,1,2,1,1,2.0,9,3,1.0
1,12,954,390.3,2022,2,2,3,1,,1,2,
2,22,2684,278.7,2001,1,1,5,2,2.0,10,3,1.0
5,51,238,247.1,1970,2,1,5,1,2.0,12,4,1.0
2,21,3073,234.6,1975,2,1,3,1,2.0,12,4,1.0
2,23,269,310.5,1991,1,1,4,1,2.0,6,2,1.0
8,81,2277,331.5,2002,1,1,3,1,2.0,11,3,1.0
2,23,929,138.3,2015,1,1,5,4,1.0,2,2,
4,42,641,344.7,1995,1,1,5,3,2.0,11,3,1.0
8,83,2693,363.8,1996,2,2,3,1,2.0,10,3,1.0
7,72,451,135.3,1947,1,1,1,4,2.0,12,4,1.0
7,73,1849,244.8,1993,2,1,2,1,2.0,10,3,1.0
5,52,2182,379.9,1942,1,2,3,1,2.0,8,3,1.0
8,82,1113,169.7,1946,1,2,5,4,2.0,8,3,1.0
4,42,2613,402.9,1961,1,2,3,1,2.0,7,2,1.0
4,42,3068,454.2,2018,2,3,2,1,,0,0,
3,31,2624,376.0,1944,1,1,3,1,2.0,12,5,1.0
5,52,608,240.4,1962,2,1,3,1,2.0,5,2,1.0
3,32,2946,108.0,1938,1,2,2,1,2.0,9,3,1.0
6,61,1547,270.5,2020,2,1,5,1,,0,0,
8,81,1956,484.0,2001,2,1,4,2,2.0,12,5,1.0
1,11,1729,490.5,1970,1,2,1,1,2.0,12,5,1.0
8,81,2936,312.6,2017,2,1,4,1,2.0,1,2,
6,62,911,117.0,1984,2,1,4,1,1.0,9,3,1.0
8,82,2274,352.9,1942,2,1,4,1,2.0,11,3,1.0
3,32,929,225.8,1968,2,1,4,1,2.0,10,3,1.0
9,91,772,50.3,1967,1,2,3,1,2.0,8,3,1.0
5,51,1494,429.3,1963,1,1,5,1,2.0,7,2,2.0
2,23,3027,350.6,1995,1,1,1,2,2.0,6,2,1.0
3,33,2925,493.1,2015,2,1,5,1,1.0,1,2,
9,92,2548,60.7,2015,1,2,1,1,1.0,1,2,
2,23,2439,127.5,2018,2,2,3,1,,0,0,
5,51,2049,199.8,2004,1,2,1,1,2.0,9,3,1.0
7,72,934,418.8,1947,2,1,3,1,2.0,7,2,2.0
4,41,1581,233.6,2015,1,1,4,1,1.0,3,2,
8,81,1344,384.9,1973,2,2,1,1,1.0,9,3,1.0
5,51,2958,77.6,2018,2,2,4,2,,0,0,
5,53,3124,242.7,1941,1,2,1,1,2.0,12,4,1.0
9,92,998,170.9,2005,2,1,5,2,1.0,11,3,1.0
5,51,1874,63.9,2012,1,1,5,1,1.0,4,2,
5,53,1979,282.5,2016,1,1,4,1,1.0,2,2,
5,51,1231,346.0,1949,1,1,4,1,2.0,7,2,1.0
8,81,1433,423.5,1993,1,1,5,1,2.0,10,3,1.0
7,73,641,164.6,1976,2,2,2,1,2.0,9,3,1.0
2,22,2971,216.6,2011,2,1,5,2,1.0,7,2,
6,63,3301,361.0,2021,1,1,3,1,,1,2,
1,11,195,405.5,1973,1,1,4,4,2.0,9,3,1.0
2,22,2963,260.5,1945,1,3,5,1,2.0,11,3,1.0
